,Cnsmr,Manuf,HiTec,Hlth ,Other
198811,-1.67,-1.33,-1.53,-2.17,-2.09
198812,2.23,2.34,3.34,1.82,0.96
198901,6.23,6.12,7.95,6.78,6.89
198902,-1.85,-1.84,-2.57,-1.15,-0.41
198903,3.26,1.7,-0.23,4.94,3.41
198904,4.75,4.36,7.41,5.41,4.68
198905,4.83,3.77,4.16,3.41,4.18
198906,0.14,-0.97,-1.58,-2.72,0.84
198907,9.75,6.32,5.99,13.9,8.16
198908,0.95,3.03,1.69,0.37,3.36
198909,-1.9,-0.99,0.91,2.41,1.35
198910,-3.63,-1.97,-3.07,0.39,-4.84
198911,1.06,3.32,0.37,4.54,-0.03
198912,0.85,4.12,2.89,1.05,-1.46
199001,-7.49,-5.6,-8.56,-7.36,-8.87
199002,1.35,2.16,1.57,-2.06,2.52
199003,4.51,1.72,4.3,3.85,-0.26
199004,-1.55,-3.54,-2.81,0.29,-3.46
199005,9.87,7,10.79,12.77,9.1
199006,1.21,-0.67,-3.11,4.43,-1.64
199007,-2.47,2.39,-5.94,2.6,-3.46
199008,-10.17,-8.04,-11.35,-6.8,-11.38
199009,-6.7,-4.34,-2.42,-4.35,-10
199010,-0.32,-0.48,-0.01,1.42,-6.36
199011,7.65,4.52,6.59,9.49,10.65
199012,3.46,2.04,2.83,2.78,5.46
199101,6.95,2.37,6.93,4.54,7.48
199102,9.53,6.32,4.89,9.87,9.68
199103,5.82,1.43,1.53,5.42,3.1
199104,0.03,0.91,-0.89,-1.14,1.28
199105,6.34,3.53,1.04,4.65,4.96
199106,-4.63,-3.71,-5.38,-4.18,-5.22
199107,4.87,3.81,3.91,8.46,4.7
199108,3.9,2.21,1.84,2.88,3.11
199109,-3.19,-0.56,-0.39,-0.36,-0.57
199110,-1.27,1.57,2.04,6.63,2.32
199111,-1.53,-4.4,-4.65,-2.59,-5.4
199112,13.34,7.63,9.47,16.54,12.62
199201,-0.53,-0.82,2.03,-5.55,2.06
199202,2.77,0.8,1.45,-2.64,3.13
199203,-1.25,-1.39,-3.23,-5.47,-2.15
199204,-0.17,4.36,2.69,-2.16,0.52
199205,0.55,0.92,-0.82,1.13,1.51
