,SMALL LoBO,ME1 BO2,SMALL HiBO,BIG LoBO,ME2 BO2,BIG HiBO
19911016,0.72,0.57,0.56,0.41,0.5,0.34
19911017,0.32,0.18,0.22,0.45,0.26,0.21
19911018,0.64,0.43,0.6,0.97,0.79,0.61
19911021,-0.01,-0.13,-0.2,-0.41,-0.42,-0.69
19911022,0.02,-0.2,-0.18,-0.4,-0.42,-0.63
19911023,-0.29,-0.38,-0.43,-0.51,-0.42,-0.29
19911024,-0.15,0.1,-0.01,0.06,0,-0.03
19911025,-0.35,-0.15,-0.34,-0.53,-0.4,-0.3
19911028,-0.03,-0.27,-0.37,0.03,0.02,0.31
19911029,1.12,1.1,1.19,1.33,1.06,1.18
19911030,0.58,0.57,0.49,0.14,0.44,0.19
19911031,0.62,0.5,0.38,0.45,0.17,0.36
19911101,0.2,0.24,0.5,-0.09,0.1,-0.07
19911104,0.28,0.46,0.56,0.47,0.49,0.38
19911105,-0.22,-0.18,-0.34,-0.41,-0.44,-0.35
19911106,-0.08,-0.15,-0.05,-0.32,-0.26,-0.12
19911107,0.36,0.45,0.39,0.2,0.23,0.3
19911108,-0.11,-0.19,-0.09,-0.24,-0.14,-0.11
19911111,0.07,0.19,0.08,-0.11,-0.12,0.1
19911112,0.38,0.33,0.27,0.73,0.53,0.86
19911113,-0.3,-0.14,-0.14,-0.37,-0.38,-0.28
19911114,-0.24,0.11,0.12,-0.23,-0.09,-0.15
19911115,-1.65,-1.01,-0.99,-1.36,-1.4,-1.84
19911118,-0.69,-0.62,-0.45,-0.7,-0.51,-0.36
19911119,-0.73,-0.49,-0.57,-0.75,-0.62,-0.9
19911120,-0.16,-0.2,-0.37,-0.4,-0.21,-0.3
19911121,0.17,-0.02,0.15,0.45,0,0.14
19911122,-0.4,-0.2,-0.12,-0.41,-0.42,-0.3
19911125,-0.21,-0.34,-0.53,-0.01,0,0.07
19911126,-0.59,-0.28,-0.51,0.38,0.28,0.25
19911127,-0.77,-0.89,-0.94,-1.33,-1.2,-1
19911128,-0.32,-0.27,-0.32,-0.43,-0.39,-0.33
19911129,-0.26,-0.39,-0.32,-0.54,-0.59,-0.25
19911202,-0.42,-0.24,-0.24,-0.73,-0.42,0.08
19911203,0.19,0.14,0.03,0.55,0.33,0.73
19911204,0.24,0.26,0.28,0.25,0.26,0.58
19911205,0.16,0.11,0.14,-0.28,-0.09,-0.17
19911206,0.35,0.3,0.43,0.14,0.19,0.37
19911209,-0.31,-0.13,-0.26,-0.33,-0.42,-0.05
19911210,-0.68,-0.68,-0.57,-1.03,-0.66,-0.56
19911211,-0.57,-0.64,-0.4,-0.77,-0.52,-0.7
19911212,0.39,0.47,0.25,0.69,0.94,0.98
19911213,0.84,0.84,0.81,1.82,1.5,1.28
19911216,0.71,0.47,0.44,0.21,0.1,0.29
19911217,-0.26,-0.17,-0.1,-0.55,-0.45,-0.2
19911218,-0.36,-0.3,-0.21,-0.39,-0.26,-0.21
19911219,-0.52,-0.34,-0.26,-1.17,-0.86,-0.7
19911220,0.24,0.24,0.35,0.06,0.37,0.26
19911223,0.96,0.99,0.79,1.37,1.34,1.48
19911224,0.12,0.01,0.26,0.16,0.3,-0.02
19911225,0.19,0.23,0.26,1.37,0.87,0.87
19911226,0.95,0.8,0.72,0.75,0.89,1.1
19911227,0.56,0.46,0.51,0.5,0.35,0.34
19911230,1.14,0.9,0.82,1.95,1.72,1.62
19911231,0.82,0.78,0.78,0.69,0.92,0.73
19920101,0,0,0,0,0,0
19920102,0.19,-0.19,-0.11,-0.03,0.07,0.12
19920103,0.39,0.12,0.05,0.15,0,0.03
19920106,1.4,1.14,1.55,1.84,1.47,1.35
19920107,0.24,0.2,0.09,-0.55,-0.41,-0.48
19920108,0.15,0.01,0.11,-1.36,-1.2,-0.94
19920109,-0.17,-0.51,-0.39,-0.04,-0.51,-0.2
19920110,-0.92,-1.04,-1.07,-2.01,-1.72,-1.84
19920113,0.16,0.06,0.28,-0.86,-0.49,-0.63
19920114,0.46,0.13,0.12,0.57,0.63,0.57
19920115,0.02,-0.26,-0.21,-0.44,-0.1,-0.83
19920116,0.09,0.32,0.53,-0.05,0.26,-0.66
19920117,0.59,0.65,0.95,0.08,0.58,0.25
19920120,0.42,0.33,0.32,0.19,0.41,0.32
19920121,-0.65,-0.31,-0.26,-0.1,-0.1,-0.17
19920122,0.6,0.45,0.45,1.24,0.69,1.24
19920123,-0.26,-0.21,-0.39,-0.49,-0.55,-0.55
19920124,0.1,0.18,0.2,-0.53,-0.28,-0.22
19920127,-0.71,-0.75,-0.72,-1.11,-0.64,-1.04
19920128,0.37,0.28,0.47,0.41,0.43,0.39
19920129,-0.25,0.03,-0.09,-0.37,-0.29,-0.42
19920130,0.02,-0.37,-0.5,-0.15,-0.27,0.17
19920131,0.87,0.77,0.86,1.04,0.71,0.81
19920203,0.45,0.54,0.49,0.03,0.32,0.11
19920204,0.58,0.52,0.65,0.41,0.28,0.35
19920205,0.41,0.53,0.77,0.31,0.11,0.24
19920206,0.61,0.55,0.66,0.45,0.25,0.17
19920207,0.34,0.44,0.39,0.07,0.11,-0.17
19920210,-0.51,-0.52,-0.44,-0.75,-0.62,-0.56
