,SMALL LoOP,ME1 OP2,SMALL HiOP,BIG LoOP,ME2 OP2,BIG HiOP
20160525,0.87,0.68,1.13,0.9,0.94,0.96
20160526,-0.15,-0.31,-0.2,-0.54,0,-0.02
20160527,0.71,0.51,0.63,0.71,0.64,0.65
20160531,0.75,0.15,0.28,0.56,0.15,0.13
20160601,1.03,0.55,0.82,0.35,0.26,0.36
20160602,0.6,0.17,0.45,1.06,0.67,0.56
20160603,-0.42,-0.41,-0.47,-1.03,-0.51,-0.45
20160606,1.9,1.42,1.53,1.34,0.99,0.88
20160607,0.33,0.52,0.35,0.01,0.43,0.41
20160608,1.11,0.86,0.72,0.02,0.39,0.32
20160609,-0.97,-0.54,-0.88,-1.12,-0.45,-0.44
20160610,-1.42,-1.02,-1.8,-2.42,-1.66,-1.48
20160613,-1.07,-1.08,-1.19,-0.87,-0.99,-1.23
20160614,-0.49,-0.26,-0.15,-0.69,-0.48,-0.34
20160615,0.48,0.14,0.22,0.47,0.14,0.14
20160616,-0.18,-0.3,-0.2,-0.35,-0.2,0.01
20160617,-0.36,0.04,0.33,-0.06,0.15,0.25
20160620,1.25,1.06,1.27,1.33,1,1.08
20160621,-0.49,-0.13,-0.56,-0.15,0.06,-0.12
20160622,-0.44,-0.42,-0.48,-0.4,-0.15,-0.13
20160623,1.53,1.73,1.83,2.45,1.73,1.58
20160624,-2.85,-3.36,-3.26,-5.14,-4.5,-4.05
20160627,-3.11,-2.82,-3.68,-4.14,-3.34,-2.93
20160628,2.2,1.28,1.81,2.89,2.11,1.78
20160629,1.44,1.61,2.2,2.67,1.92,2.06
20160630,0.79,1.54,1.5,1.33,1.65,1.58
20160701,1.43,0.39,0.89,0.59,-0.01,0.36
20160705,-1.36,-1.41,-1.79,-1.94,-1.26,-1.3
20160706,0.7,0.67,0.82,0.85,0.56,0.67
20160707,0.49,0.11,0.57,0.22,0.13,0.42
20160708,2.03,2.23,2.54,1.78,1.82,1.95
20160711,0.66,1,1.33,0.42,0.57,0.51
20160712,1.46,1.28,1.49,1.71,0.94,1.06
20160713,-0.78,0.02,-0.15,-0.68,0.06,-0.19
20160714,0.05,0.17,0.12,0.53,0.37,0.46
20160715,0.49,0.22,0.13,0.14,0,-0.07
20160718,0.22,0.13,0.33,0.32,0.08,0.2
20160719,-1,-0.33,-0.69,-0.71,-0.23,-0.25
20160720,1.23,0.46,0.76,0.91,0.43,0.74
20160721,-0.26,-0.38,-0.38,-0.64,-0.45,-0.36
20160722,0.54,0.57,0.75,0.58,0.66,0.57
